curso,sexo,edad,P1_4,PA_2,PA_4,PA_6,PA_7,PB_1,PB_2,PC_1,PC_2,PC_3,PC_4,PD_2,PD_3,PD_4,PD_5,PD_6,PD_7,PF_1,PF_2,PH_10,dep
Septimo Basico,Hombre,13,Chile,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Segundo Medio,Mujer,15,Chile,No,No,No,No,Si,No,Si,No,No,No,Si,No,No,No,No,No,No,Si,No,Municipal y AD
Segundo Medio,Mujer,16,Chile,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,Municipal y AD
Segundo Medio,Hombre,16,Chile,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Octavo Basico,Hombre,16,Chile,No,No,Si,No,No,No,Si,Si,Si,No,No,Si,No,No,No,No,Si,No,No,Municipal y AD
Tercero Medio,Hombre,17,Chile,No,Si,No,No,Si,No,No,No,Si,No,No,No,Si,No,No,No,Si,No,No,Municipal y AD
Septimo Basico,Mujer,15,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Mujer,13,Chile,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Segundo Medio,Mujer,15,Chile,No,No,No,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,Si,No,No,Subvencionado
Segundo Medio,Hombre,17,Chile,No,No,Si,No,No,Si,No,No,Si,Si,Si,No,No,No,No,No,Si,No,No,Subvencionado
Primero Medio,Hombre,16,Chile,No,Si,Si,No,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,12,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Hombre,16,Chile,No,Si,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,17,Chile,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Tercero Medio,Mujer,16,Chile,No,No,No,Si,Si,No,No,No,No,No,Si,No,No,No,No,No,Si,Si,Si,Subvencionado
Primero Medio,Hombre,14,Chile,No,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,Si,Si,Si,Subvencionado
Tercero Medio,Mujer,18,Chile,No,No,Si,Si,Si,No,Si,No,Si,Si,Si,No,No,No,No,No,Si,Si,Si,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,12,Chile,No,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,12,Chile,No,Si,Si,No,No,No,Si,No,Si,Si,No,No,No,No,No,No,Si,No,No,Subvencionado
Septimo Basico,Mujer,12,Chile,No,No,Si,No,No,No,No,No,Si,Si,No,No,No,No,No,No,Si,Si,No,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,Si,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,13,Chile,No,Si,Si,No,No,No,Si,No,Si,Si,Si,No,No,No,No,No,Si,No,Si,Subvencionado
Octavo Basico,Mujer,13,Chile,No,Si,Si,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,Si,No,Si,Subvencionado
Septimo Basico,Mujer,12,Chile,No,Si,Si,Si,No,No,Si,No,Si,Si,No,No,No,No,No,No,Si,No,No,Subvencionado
Septimo Basico,Mujer,12,Chile,No,No,Si,No,Si,No,No,No,Si,Si,Si,No,No,No,No,No,Si,No,Si,Subvencionado
Septimo Basico,Mujer,13,Chile,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,Si,Si,No,Si,Si,No,No,No,No,Si,Si,No,No,No,No,Si,Si,Si,Subvencionado
Tercero Medio,Hombre,16,Chile,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,No,Si,No,Si,Subvencionado
Segundo Medio,Mujer,15,Chile,No,Si,Si,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,No,Si,No,Si,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,16,Chile,Si,Si,Si,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Hombre,14,Chile,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,No,Si,Si,No,Si,No,Si,Subvencionado
Septimo Basico,Mujer,12,Chile,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,12,Chile,No,No,No,No,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Mujer,15,Chile,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Hombre,13,Chile,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,14,Chile,No,Si,Si,No,Si,No,Si,No,Si,Si,No,No,No,No,No,No,No,Si,Si,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,Subvencionado
Septimo Basico,Hombre,12,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,15,Chile,Si,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,Si,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,No,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,15,Chile,Si,Si,Si,No,No,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Octavo Basico,Mujer,13,Chile,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Hombre,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Mujer,16,Chile,No,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,Si,No,Si,Subvencionado
Tercero Medio,Mujer,16,Chile,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,Subvencionado
Tercero Medio,Mujer,17,Chile,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Si,No,Si,Subvencionado
Octavo Basico,Mujer,14,Chile,No,Si,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,Si,No,No,Subvencionado
Octavo Basico,Mujer,13,Chile,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,13,Chile,Si,Si,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Octavo Basico,Mujer,14,Chile,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,Subvencionado
Primero Medio,Mujer,14,Chile,No,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Primero Medio,Hombre,14,Chile,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Hombre,16,Chile,No,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Mujer,17,Chile,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,No,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Mujer,16,Chile,No,Si,Si,No,Si,Si,No,No,Si,Si,Si,No,No,No,No,No,Si,Si,Si,Subvencionado
Segundo Medio,Hombre,16,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Hombre,16,Chile,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,13,Chile,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,12,Chile,No,Si,Si,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,12,Chile,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,12,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,12,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,14,Chile,No,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Mujer,14,Chile,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,Si,No,Si,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,Si,Subvencionado
Segundo Medio,Hombre,15,Chile,No,No,Si,Si,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,Si,Subvencionado
Segundo Medio,Hombre,16,Chile,No,Si,Si,No,Si,No,Si,No,Si,No,Si,No,No,No,No,No,Si,No,No,Subvencionado
Segundo Medio,Mujer,17,Chile,Si,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,Si,Si,No,Si,No,No,No,Si,Si,No,No,Si,No,No,No,No,Si,Si,Subvencionado
Primero Medio,Hombre,15,Chile,No,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,17,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,16,Chile,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,18,Chile,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Subvencionado
Tercero Medio,Mujer,18,Chile,No,Si,Si,No,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Mujer,16,Chile,No,No,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Mujer,17,Chile,Si,No,Si,No,Si,Si,No,No,Si,No,No,No,No,No,Si,No,Si,No,Si,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,Si,No,No,No,Si,No,Si,No,No,Si,No,Si,No,No,Si,Si,Si,Subvencionado
Octavo Basico,Hombre,14,Chile,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,12,Chile,No,Si,Si,No,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Hombre,12,Chile,No,No,Si,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,13,Chile,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Hombre,12,Chile,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,Si,No,Si,Subvencionado
Primero Medio,Hombre,16,Chile,No,Si,Si,No,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Hombre,15,Chile,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,Subvencionado
Primero Medio,Mujer,16,Chile,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Mujer,15,Chile,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Mujer,16,Chile,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Segundo Medio,Hombre,16,Chile,No,Si,Si,No,No,Si,No,No,No,Si,No,No,No,No,No,No,Si,No,No,Subvencionado
Segundo Medio,Hombre,15,Chile,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,Si,No,Si,No,Si,Si,No,No,Si,No,No,No,No,No,No,No,Si,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,13,Chile,Si,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Subvencionado
Tercero Medio,Hombre,17,Chile,No,No,No,No,Si,Si,No,No,Si,No,No,No,No,No,No,No,Si,Si,No,Subvencionado
Tercero Medio,Hombre,17,Chile,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,16,Chile,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Hombre,15,Chile,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Hombre,15,Chile,No,Si,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,Si,No,No,Subvencionado
Primero Medio,Mujer,15,Chile,No,No,No,No,Si,No,Si,No,Si,Si,No,No,Si,No,No,No,Si,Si,No,Subvencionado
Primero Medio,Mujer,15,Chile,No,No,Si,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,Subvencionado
Primero Medio,Mujer,16,Chile,No,Si,No,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,17,Chile,Si,Si,Si,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,16,Chile,No,No,Si,No,No,Si,Si,No,Si,Si,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Mujer,15,Chile,No,Si,Si,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Hombre,15,Chile,No,No,Si,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Mujer,16,Chile,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Subvencionado
Segundo Medio,Mujer,16,Chile,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Septimo Basico,Hombre,12,Chile,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,13,Chile,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Octavo Basico,Mujer,13,Chile,No,No,Si,No,Si,Si,No,No,Si,No,No,No,No,Si,Si,No,Si,No,Si,Subvencionado
Octavo Basico,Mujer,14,Chile,No,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,Si,No,Si,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,No,No,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,No,Si,No,No,Si,No,Si,No,No,No,No,No,No,No,Si,No,No,Subvencionado
Septimo Basico,Mujer,13,Chile,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Mujer,13,Chile,Si,Si,Si,Si,Si,No,Si,No,Si,Si,Si,No,No,No,No,No,Si,No,No,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,No,Si,Si,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,12,Chile,No,Si,Si,No,Si,Si,No,No,Si,No,No,No,No,No,No,No,Si,No,Si,Subvencionado
Septimo Basico,Hombre,13,Chile,No,Si,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,12,Chile,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,13,Chile,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,14,Chile,No,Si,No,No,Si,No,No,No,Si,Si,Si,No,No,No,No,No,Si,No,Si,Subvencionado
Octavo Basico,Hombre,14,Chile,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Octavo Basico,Mujer,13,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,14,Chile,No,No,Si,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Octavo Basico,Mujer,13,Chile,Si,No,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,Si,Subvencionado
Septimo Basico,Mujer,12,Chile,No,No,Si,No,Si,No,Si,No,Si,Si,Si,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Mujer,13,Chile,No,Si,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,No,No,Subvencionado
Octavo Basico,Mujer,14,Chile,Si,No,No,Si,No,No,No,No,No,Si,Si,No,No,No,No,No,No,Si,No,Subvencionado
Octavo Basico,Mujer,13,Chile,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,14,Chile,No,No,Si,Si,No,No,Si,No,No,No,Si,No,No,No,No,No,No,Si,Si,Subvencionado
Septimo Basico,Mujer,13,Chile,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Hombre,16,Chile,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,No,No,No,No,No,No,Si,Si,Si,Subvencionado
Primero Medio,Mujer,15,Chile,No,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Hombre,15,Chile,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Primero Medio,Mujer,14,Chile,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,Subvencionado
Primero Medio,Hombre,15,Chile,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Subvencionado
Primero Medio,Hombre,15,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,15,Chile,No,Si,Si,Si,No,No,Si,No,Si,No,No,No,No,No,No,No,Si,No,Si,Subvencionado
Octavo Basico,Hombre,13,Chile,No,No,Si,Si,Si,Si,Si,No,No,Si,Si,No,Si,No,No,No,No,No,No,Subvencionado
Octavo Basico,Hombre,15,Chile,No,No,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,Subvencionado
Septimo Basico,Mujer,14,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Septimo Basico,Hombre,13,Chile,No,No,Si,Si,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,Si,Subvencionado
Septimo Basico,Mujer,12,Chile,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Subvencionado
Octavo Basico,Hombre,15,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Mujer,17,Chile,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Tercero Medio,Hombre,17,Chile,Si,Si,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,Si,Si,No,Subvencionado
Tercero Medio,Mujer,16,Chile,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Tercero Medio,Mujer,18,Chile,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Subvencionado
Tercero Medio,Mujer,16,Chile,Si,No,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,Subvencionado
Segundo Medio,Hombre,16,Chile,Si,No,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Hombre,18,Chile,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
Segundo Medio,Hombre,15,Chile,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Subvencionado
